inning,inning_top_bot,plot_x,description,game_info_url,home_team,away_team,away_score,home_score,score_differential,score_differential_pre,base_1_occupied_pre,base_2_occupied_pre,base_3_occupied_pre,outs_in_inning_so_far_before_event
1,top,1.15,Amaral flied out to lf (0-1 K).,https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,0,0,0,0,FALSE,FALSE,FALSE,0
1,top,1.2,Hirabayashi grounded out to 3b (1-2 SKB).,https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,0,0,0,0,FALSE,FALSE,FALSE,1
1,top,1.25,Bouchard singled through the left side (1-0 B).,https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,0,0,0,0,FALSE,FALSE,FALSE,2
1,top,1.3,Pries grounded out to 1b unassisted (0-1 K).,https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,0,0,0,0,TRUE,FALSE,FALSE,2
1,bot,1.6,"Winaker, M. popped up to ss (1-1 FB).",https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,0,0,0,0,FALSE,FALSE,FALSE,0
1,bot,1.65,"Hoerner, N. lined out to 3b (1-2 KFB).",https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,0,0,0,0,FALSE,FALSE,FALSE,1
1,bot,1.7,"Brodey, Q. struck out looking (2-2 BBSFK).",https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,0,0,0,0,FALSE,FALSE,FALSE,2
2,top,2.1,Strumpf grounded out to ss (3-1 BBBK).,https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,0,0,0,0,FALSE,FALSE,FALSE,0
2,top,2.15,"Clarke homered to right center, RBI (0-0).",https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,1,0,-1,0,FALSE,FALSE,FALSE,1
2,top,2.2,Toglia hit by pitch (1-2 KBK).,https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,1,0,-1,-1,FALSE,FALSE,FALSE,1
2,top,2.25,Kreidler lined out to cf (1-1 BS).,https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,1,0,-1,-1,TRUE,FALSE,FALSE,1
2,top,2.3,Rosica flied out to rf (3-2 BFFBBF).,https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,1,0,-1,-1,TRUE,FALSE,FALSE,2
2,bot,2.6,"Bakst, Dan grounded out to 2b (1-1 BF).",https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,1,0,-1,-1,FALSE,FALSE,FALSE,0
2,bot,2.65,"Diekroeger,M walked (3-0 BBBB).",https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,1,0,-1,-1,FALSE,FALSE,FALSE,1
2,bot,2.7,"Klein, J. flied out to cf (1-1 KB).",https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,1,0,-1,-1,TRUE,FALSE,FALSE,1
2,bot,2.75,"Handley, M. struck out looking (2-2 FKBBFK).",https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,1,0,-1,-1,TRUE,FALSE,FALSE,2
3,top,3.1,Amaral lined out to rf (2-2 KBBK).,https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,1,0,-1,-1,FALSE,FALSE,FALSE,0
3,top,3.15,Hirabayashi struck out swinging (3-2 BSBKBS).,https://stats.ncaa.org/game/index/4353130?org_id=674,Stanford,UCLA,1,0,-1,-1,FALSE,FALSE,FALSE,1
