inning,inning_top_bot,score_differential,base_1_occupied_pre,base_2_occupied_pre,base_3_occupied_pre,outs_in_inning_so_far_before_event,win_probability
1,top,-10,True,True,True,0,0.010667223610101674
1,top,-10,True,True,True,1,0.013235887576414421
1,top,-10,True,True,True,2,0.01573437641377452
1,top,-10,True,True,False,0,0.014301162092297585
1,top,-10,True,True,False,1,0.016674461750291553
1,top,-10,True,True,False,2,0.018563882968693907
1,top,-10,True,False,True,0,0.013487453725246155
1,top,-10,True,False,True,1,0.015961505386327235
1,top,-10,True,False,True,2,0.018025960518073016
1,top,-10,True,False,False,0,0.016882888982874128
1,top,-10,True,False,False,1,0.018716370950865875
1,top,-10,True,False,False,2,0.01996670322663874
1,top,-10,False,True,True,0,0.01249650473717627
1,top,-10,False,True,True,1,0.01504856668968731
1,top,-10,False,True,True,2,0.01730000096131994
1,top,-10,False,True,False,0,0.016037457215156092
1,top,-10,False,True,False,1,0.018084472612072446
1,top,-10,False,True,False,2,0.01955400552789224
1,top,-10,False,False,True,0,0.01528588417471383
1,top,-10,False,False,True,1,0.017492742279774185
1,top,-10,False,False,True,2,0.01915027507179885
1,top,-10,False,False,False,0,0.018253629395764328
1,top,-10,False,False,False,1,0.019666333358574796
1,top,-10,False,False,False,2,0.020552282136263027
1,top,-9,True,True,True,0,0.016583190181998768
1,top,-9,True,True,True,1,0.020553911229070052
1,top,-9,True,True,True,2,0.024411137344167527
1,top,-9,True,True,False,0,0.02219906166255795
1,top,-9,True,True,False,1,0.025861359566870516
1,top,-9,True,True,False,2,0.028774508173017944
1,top,-9,True,False,True,0,0.02094249446710633
1,top,-9,True,False,True,1,0.024761569003820868
1,top,-9,True,False,True,2,0.02794532631491572
1,top,-9,True,False,False,0,0.026182815989484666
1,top,-9,True,False,False,1,0.029009534339025984
1,top,-9,True,False,False,2,0.030936224505708907
1,top,-9,False,True,True,0,0.0194115257554065
1,top,-9,False,True,True,1,0.023352811051936255
1,top,-9,False,True,True,2,0.026826049311784436
1,top,-9,False,True,False,0,0.02487874577748885
1,top,-9,False,True,False,1,0.028035527217581624
1,top,-9,False,True,False,2,0.030300360578447885
1,top,-9,False,False,True,0,0.02371907003823123
1,top,-9,False,False,True,1,0.02712324430110435
1,top,-9,False,False,True,2,0.029678238295679723
1,top,-9,False,False,False,0,0.028296285319104397
1,top,-9,False,False,False,1,0.03047343716802584
1,top,-9,False,False,False,2,0.031838329313965553
1,top,-8,True,True,True,0,0.025662290302801184
1,top,-8,True,True,True,1,0.031753350283419045
1,top,-8,True,True,True,2,0.037658449605555415
1,top,-8,True,True,False,0,0.03427325268489591
1,top,-8,True,True,False,1,0.03987601388966904
1,top,-8,True,True,False,2,0.044326870073525274
1,top,-8,True,False,True,0,0.03234873500352356
1,top,-8,True,False,True,1,0.03819442287978655
1,top,-8,True,False,True,2,0.04306047175649699
1,top,-8,True,False,False,0,0.040367385210252106
1,top,-8,True,False,False,1,0.04468575909271079
1,top,-8,True,False,False,2,0.047626861969416776
1,top,-8,False,True,True,0,0.030002301085639185
1,top,-8,False,True,True,1,0.036039285276501784
1,top,-8,False,True,True,2,0.0413504365945703
1,top,-8,False,True,False,0,0.03837362322817888
1,top,-8,False,True,False,1,0.043198251610151096
1,top,-8,False,True,False,2,0.04665639998800429
1,top,-8,False,False,True,0,0.03659972051886665
1,top,-8,False,False,True,1,0.04180455917457696
1,top,-8,False,False,True,2,0.045706734418296646
1,top,-8,False,False,False,0,0.04359652986142805
1,top,-8,False,False,False,1,0.046920568940767675
1,top,-8,False,False,False,2,0.04900336644741503
1,top,-7,True,True,True,0,0.03943824007461058
1,top,-7,True,True,True,1,0.0486736646347735
1,top,-7,True,True,True,2,0.05759966712715261
1,top,-7,True,True,False,0,0.05248572245965534
1,top,-7,True,True,False,1,0.060945650085303234
1,top,-7,True,True,False,2,0.06765279871808526
1,top,-7,True,False,True,0,0.049574781058980055
1,top,-7,True,False,True,1,0.05840865319957217
1,top,-7,True,False,True,2,0.06574550064795144
1,top,-7,True,False,False,0,0.06168665527476116
1,top,-7,True,False,False,1,0.06819316829271582
1,top,-7,True,False,False,2,0.07261922941567758
1,top,-7,False,True,True,0,0.04602183886121984
1,top,-7,False,True,True,1,0.05515460199900331
1,top,-7,False,True,True,2,0.06316871248566859
1,top,-7,False,True,False,0,0.058679093644775415
1,top,-7,False,True,False,1,0.06595304804188884
1,top,-7,False,True,False,2,0.0711592164081747
1,top,-7,False,False,True,0,0.05600109965921406
1,top,-7,False,False,True,1,0.063853167916584
1,top,-7,False,False,True,2,0.06973008339034482
1,top,-7,False,False,False,0,0.06655294709936072
1,top,-7,False,False,False,1,0.07155668669720795
1,top,-7,False,False,False,2,0.07468942750886305
1,top,-6,True,True,True,0,0.05999101962504843
1,top,-6,True,True,True,1,0.07375320007192508
1,top,-6,True,True,True,2,0.08699265686878875
1,top,-6,True,True,False,0,0.07941423145266363
1,top,-6,True,True,False,1,0.09194205563455356
1,top,-6,True,True,False,2,0.101844183763522
1,top,-6,True,False,True,0,0.07509235425716695
1,top,-6,True,False,True,1,0.0881899417308134
1,top,-6,True,False,True,2,0.09903075572992207
1,top,-6,True,False,False,0,0.0930372528523212
1,top,-6,True,False,False,1,0.10264094796244094
1,top,-6,True,False,False,2,0.1091619914009181
1,top,-6,False,True,True,0,0.06980869150904717
1,top,-6,False,True,True,1,0.08337146034990864
1,top,-6,False,True,True,2,0.09522677895340897
1,top,-6,False,True,False,0,0.08859009786932728
1,top,-6,False,True,False,1,0.09933699501524038
1,top,-6,False,True,False,2,0.10701188222369348
1,top,-6,False,False,True,0,0.08462558296124906
1,top,-6,False,False,True,1,0.0962375516035637
1,top,-6,False,False,True,2,0.10490633799395878
1,top,-6,False,False,False,0,0.10022203147436952
1,top,-6,False,False,False,1,0.1075973140570258
1,top,-6,False,False,False,2,0.1122091641598777
1,top,-5,True,True,True,0,0.08991593047790825
1,top,-5,True,True,True,1,0.10991376814526069
1,top,-5,True,True,True,2,0.12901988686172008
1,top,-5,True,True,False,0,0.11809791613954118
1,top,-5,True,True,False,1,0.13613355380793754
1,top,-5,True,True,False,2,0.150324850349981
1,top,-5,True,False,True,0,0.11185185699698802
1,top,-5,True,False,True,1,0.13074206150512593
1,top,-5,True,False,True,2,0.1462979341369835
1,top,-5,True,False,False,0,0.13770572973148887
1,top,-5,True,False,False,1,0.15146457681826386
1,top,-5,True,False,False,2,0.16078169801653922
1,top,-5,False,True,True,0,0.10419731167110727
1,top,-5,False,True,True,1,0.12380571182548007
1,top,-5,False,True,True,2,0.14084683248111354
1,top,-5,False,True,False,0,0.1313174518043008
1,top,-5,False,True,False,1,0.14673645078331504
1,top,-5,False,True,False,2,0.15771173901632682
1,top,-5,False,False,True,0,0.12561247076591492
1,top,-5,False,False,True,1,0.1422960117152869
1,top,-5,False,False,True,2,0.15470346732303022
1,top,-5,False,False,False,0,0.1480035071900712
1,top,-5,False,False,False,1,0.1585478227236735
1,top,-5,False,False,False,2,0.16512922745108868
1,top,-4,True,True,True,0,0.13203475896055114
1,top,-4,True,True,True,1,0.16008675153698537
1,top,-4,True,True,True,2,0.1866223550437902
1,top,-4,True,True,False,0,0.17148267197173714
1,top,-4,True,True,False,1,0.19644433009192758
1,top,-4,True,True,False,2,0.21595704534223248
1,top,-4,True,False,True,0,0.162789596864087
1,top,-4,True,False,True,1,0.18900288112963373
1,top,-4,True,False,True,2,0.21043043856386015
1,top,-4,True,False,False,0,0.19861120819780265
1,top,-4,True,False,False,1,0.21751983206642084
1,top,-4,True,False,False,2,0.23027376397024707
1,top,-4,False,True,True,0,0.15209893964455476
1,top,-4,False,True,True,1,0.1794039934096261
1,top,-4,False,True,True,2,0.2029364848327115
1,top,-4,False,True,False,0,0.18979784213671877
